state,district,pincode,demo_age_5_17,demo_age_17_,total
Andhra Pradesh,Anakapalli,531023,0,4,4
Andhra Pradesh,Anakapalli,531025,1,7,8
Andhra Pradesh,Anakapalli,531026,1,7,8
Andhra Pradesh,Anakapalli,531028,1,5,6
Andhra Pradesh,Anakapalli,531031,1,8,9
Andhra Pradesh,Anakapalli,531033,1,8,9
Andhra Pradesh,Anakapalli,531035,1,10,11
Andhra Pradesh,Anakapalli,531036,2,11,13
Andhra Pradesh,Anakapalli,531081,2,8,10
Andhra Pradesh,Anakapalli,531082,0,2,2
Andhra Pradesh,Anakapalli,531083,1,7,8
Andhra Pradesh,Anakapalli,531114,2,15,17
Andhra Pradesh,Anakapalli,531115,2,12,14
Andhra Pradesh,Anakapalli,531126,2,10,12
Andhra Pradesh,Anakapalli,531127,1,6,7
Andhra Pradesh,Ananthapur,515002,1,4,5
Andhra Pradesh,Ananthapur,515003,0,1,1
Andhra Pradesh,Ananthapur,515122,1,4,5
Andhra Pradesh,Ananthapur,515124,1,3,4
Andhra Pradesh,Ananthapur,515133,1,3,4
Andhra Pradesh,Ananthapur,515144,1,3,4
Andhra Pradesh,Ananthapur,515201,4,19,23
Andhra Pradesh,Ananthapur,515211,1,2,3
Andhra Pradesh,Ananthapur,515261,1,2,3
Andhra Pradesh,Ananthapur,515271,1,5,6
Andhra Pradesh,Ananthapur,515281,1,3,4
Andhra Pradesh,Ananthapur,515291,1,2,3
Andhra Pradesh,Ananthapur,515303,1,2,3
Andhra Pradesh,Ananthapur,515408,1,5,6
Andhra Pradesh,Ananthapur,515414,1,3,4
Andhra Pradesh,Ananthapur,515425,2,10,12
Andhra Pradesh,Ananthapur,515501,1,3,4
Andhra Pradesh,Ananthapur,515561,1,4,5
Andhra Pradesh,Ananthapur,515571,2,8,10
Andhra Pradesh,Ananthapur,515611,0,2,2
Andhra Pradesh,Ananthapur,515631,1,4,5
Andhra Pradesh,Ananthapur,515672,2,7,9
Andhra Pradesh,Ananthapur,515722,1,3,4
Andhra Pradesh,Ananthapur,515741,1,6,7
Andhra Pradesh,Ananthapur,515766,2,8,10
Andhra Pradesh,Ananthapur,515775,3,8,11
Andhra Pradesh,Ananthapur,515787,1,4,5
Andhra Pradesh,Ananthapur,515812,3,9,12
Andhra Pradesh,Ananthapur,515822,1,3,4
Andhra Pradesh,Ananthapur,515863,0,3,3
Andhra Pradesh,Ananthapur,515004,4,20,24
Andhra Pradesh,Ananthapur,515005,0,1,1
Andhra Pradesh,Ananthapur,515164,1,2,3
Andhra Pradesh,Ananthapur,515241,1,4,5
Andhra Pradesh,Ananthapur,515286,1,2,3
Andhra Pradesh,Ananthapur,515305,1,2,3
Andhra Pradesh,Ananthapur,515341,1,2,3
Andhra Pradesh,Ananthapur,515413,0,1,1
Andhra Pradesh,Ananthapur,515445,0,3,3
Andhra Pradesh,Ananthapur,515455,0,2,2
Andhra Pradesh,Ananthapur,515511,1,4,5
Andhra Pradesh,Ananthapur,515531,1,2,3
Andhra Pradesh,Ananthapur,515541,1,2,3
Andhra Pradesh,Ananthapur,515551,1,3,4
Andhra Pradesh,Ananthapur,515556,1,3,4
Andhra Pradesh,Ananthapur,515601,0,3,3
Andhra Pradesh,Ananthapur,515621,1,4,5
Andhra Pradesh,Ananthapur,515641,1,4,5
Andhra Pradesh,Ananthapur,515721,0,2,2
Andhra Pradesh,Ananthapur,515751,2,11,13
Andhra Pradesh,Ananthapur,515761,3,12,15
Andhra Pradesh,Ananthapur,515763,1,3,4
Andhra Pradesh,Ananthapur,515765,1,6,7
Andhra Pradesh,Ananthapur,515867,0,3,3
Andhra Pradesh,Ananthapur,515870,1,4,5
Andhra Pradesh,Ananthapur,515872,0,2,2
Andhra Pradesh,Ananthapuramu,515001,10,46,56
Andhra Pradesh,Ananthapuramu,515101,2,4,6
Andhra Pradesh,Ananthapuramu,515110,1,5,6
Andhra Pradesh,Ananthapuramu,515321,1,2,3
Andhra Pradesh,Ananthapuramu,515401,3,12,15
Andhra Pradesh,Ananthapuramu,515402,1,2,3
Andhra Pradesh,Ananthapuramu,515405,1,2,3
Andhra Pradesh,Ananthapuramu,515411,3,17,20
Andhra Pradesh,Ananthapuramu,515415,1,2,3
Andhra Pradesh,Ananthapuramu,515435,1,2,3
Andhra Pradesh,Ananthapuramu,515465,1,3,4
Andhra Pradesh,Ananthapuramu,515521,1,5,6
Andhra Pradesh,Ananthapuramu,515591,3,11,14
Andhra Pradesh,Ananthapuramu,515651,1,2,3
Andhra Pradesh,Ananthapuramu,515701,2,12,14
Andhra Pradesh,Ananthapuramu,515711,1,6,7
Andhra Pradesh,Ananthapuramu,515731,2,9,11
Andhra Pradesh,Ananthapuramu,515767,1,6,7
Andhra Pradesh,Ananthapuramu,515774,0,2,2
Andhra Pradesh,Ananthapuramu,515801,3,14,17
Andhra Pradesh,Ananthapuramu,515803,1,2,3
Andhra Pradesh,Ananthapuramu,515832,1,4,5
Andhra Pradesh,Ananthapuramu,515842,1,3,4
Andhra Pradesh,Ananthapuramu,515865,4,34,38
Andhra Pradesh,Ananthapuramu,515871,3,13,16
Andhra Pradesh,Annamayya,516108,1,8,9
Andhra Pradesh,Annamayya,516129,1,4,5
Andhra Pradesh,Annamayya,516130,1,7,8
Andhra Pradesh,Annamayya,516268,1,4,5
Andhra Pradesh,Annamayya,516504,1,5,6
Andhra Pradesh,Annamayya,517213,2,7,9
Andhra Pradesh,Annamayya,517214,6,33,39
Andhra Pradesh,Annamayya,517234,2,11,13
Andhra Pradesh,Annamayya,517235,1,4,5
Andhra Pradesh,Annamayya,517237,1,4,5
Andhra Pradesh,Annamayya,517297,5,16,21
Andhra Pradesh,Annamayya,517305,1,4,5
Andhra Pradesh,Annamayya,517325,19,81,100
Andhra Pradesh,Annamayya,517326,0,1,1
Andhra Pradesh,Annamayya,517330,0,1,1
Andhra Pradesh,Annamayya,517350,1,5,6
Andhra Pradesh,Annamayya,517352,0,2,2
Andhra Pradesh,Annamayya,517390,2,6,8
Andhra Pradesh,Annamayya,517391,2,9,11
Andhra Pradesh,Bapatla,522102,0,1,1
Andhra Pradesh,Bapatla,522257,1,3,4
Andhra Pradesh,Bapatla,522261,1,6,7
Andhra Pradesh,Bapatla,522265,4,22,26
Andhra Pradesh,Bapatla,522268,0,3,3
Andhra Pradesh,Bapatla,522310,0,3,3
Andhra Pradesh,Bapatla,522311,0,2,2
Andhra Pradesh,Bapatla,522324,1,5,6
Andhra Pradesh,Bapatla,523156,0,1,1
Andhra Pradesh,Bapatla,523157,2,17,19
Andhra Pradesh,Bapatla,523167,1,8,9
Andhra Pradesh,Bapatla,523170,0,3,3
Andhra Pradesh,Bapatla,523184,0,3,3
Andhra Pradesh,Bapatla,523187,1,7,8
Andhra Pradesh,Bapatla,523201,2,16,18
Andhra Pradesh,Bapatla,523213,0,3,3
Andhra Pradesh,Bapatla,523214,0,1,1
Andhra Pradesh,Bapatla,523260,1,9,10
Andhra Pradesh,Bapatla,523301,2,16,18
Andhra Pradesh,Bapatla,523303,1,7,8
Andhra Pradesh,Chittoor,517001,6,39,45
Andhra Pradesh,Chittoor,517002,2,12,14
Andhra Pradesh,Chittoor,517004,2,16,18
Andhra Pradesh,Chittoor,517102,1,5,6
Andhra Pradesh,Chittoor,517112,2,8,10
Andhra Pradesh,Chittoor,517113,2,10,12
Andhra Pradesh,Chittoor,517123,2,9,11
Andhra Pradesh,Chittoor,517124,2,10,12
Andhra Pradesh,Chittoor,517125,1,10,11
Andhra Pradesh,Chittoor,517126,2,10,12
Andhra Pradesh,Chittoor,517127,3,19,22
Andhra Pradesh,Chittoor,517128,1,8,9
Andhra Pradesh,Chittoor,517129,2,7,9
Andhra Pradesh,Chittoor,517130,3,10,13
Andhra Pradesh,Chittoor,517131,2,12,14
Andhra Pradesh,Chittoor,517132,2,16,18
Andhra Pradesh,Chittoor,517152,1,3,4
Andhra Pradesh,Chittoor,517167,7,34,41
Andhra Pradesh,Chittoor,517172,2,8,10
Andhra Pradesh,Chittoor,517192,3,14,17
Andhra Pradesh,Chittoor,517193,0,3,3
Andhra Pradesh,Chittoor,517236,1,4,5
Andhra Pradesh,Chittoor,517247,23,101,124
Andhra Pradesh,Chittoor,517257,11,44,55
Andhra Pradesh,Chittoor,517277,1,3,4
Andhra Pradesh,Chittoor,517280,2,7,9
Andhra Pradesh,Chittoor,517291,1,3,4
Andhra Pradesh,Chittoor,517299,1,5,6
Andhra Pradesh,Chittoor,517319,1,2,3
Andhra Pradesh,Chittoor,517351,1,4,5
Andhra Pradesh,Chittoor,517370,3,10,13
Andhra Pradesh,Chittoor,517401,5,24,29
Andhra Pradesh,Chittoor,517403,0,2,2
Andhra Pradesh,Chittoor,517408,7,38,45
Andhra Pradesh,Chittoor,517414,1,6,7
Andhra Pradesh,Chittoor,517415,6,45,51
Andhra Pradesh,Chittoor,517416,3,17,20
Andhra Pradesh,Chittoor,517417,2,8,10
Andhra Pradesh,Chittoor,517418,1,5,6
Andhra Pradesh,Chittoor,517419,1,7,8
Andhra Pradesh,Chittoor,517421,1,9,10
Andhra Pradesh,Chittoor,517422,2,7,9
Andhra Pradesh,Chittoor,517423,5,18,23
Andhra Pradesh,Chittoor,517424,10,48,58
Andhra Pradesh,Chittoor,517425,32,126,158
Andhra Pradesh,Chittoor,517426,1,2,3
Andhra Pradesh,Chittoor,517429,2,11,13
Andhra Pradesh,Chittoor,517432,8,38,46
Andhra Pradesh,Chittoor,517504,0,1,1
Andhra Pradesh,Chittoor,517506,0,1,1
Andhra Pradesh,Chittoor,517520,3,11,14
Andhra Pradesh,Chittoor,517569,2,14,16
Andhra Pradesh,Chittoor,517571,0,2,2
Andhra Pradesh,Chittoor,517581,1,5,6
Andhra Pradesh,Chittoor,517582,3,14,17
Andhra Pradesh,Chittoor,517583,1,9,10
Andhra Pradesh,Chittoor,517584,0,2,2
Andhra Pradesh,Chittoor,517586,1,5,6
Andhra Pradesh,Chittoor,517587,1,4,5
Andhra Pradesh,Chittoor,517590,3,20,23
Andhra Pradesh,Chittoor,517591,1,8,9
Andhra Pradesh,Chittoor,517592,1,8,9
Andhra Pradesh,Chittoor,517599,1,6,7
Andhra Pradesh,Chittoor,517619,1,6,7
Andhra Pradesh,Chittoor,517620,1,7,8
Andhra Pradesh,Chittoor,517640,2,9,11
Andhra Pradesh,Chittoor,517642,1,6,7
Andhra Pradesh,Chittoor,517644,2,11,13
Andhra Pradesh,Chittoor,517645,0,1,1
Andhra Pradesh,Cuddapah,516002,3,19,22
Andhra Pradesh,Cuddapah,516003,7,37,44
Andhra Pradesh,Cuddapah,516005,0,1,1
Andhra Pradesh,Cuddapah,516101,2,17,19
Andhra Pradesh,Cuddapah,516104,0,4,4
Andhra Pradesh,Cuddapah,516105,1,7,8
Andhra Pradesh,Cuddapah,516107,1,11,12
Andhra Pradesh,Cuddapah,516110,1,4,5
Andhra Pradesh,Cuddapah,516115,1,8,9
Andhra Pradesh,Cuddapah,516126,1,9,10
Andhra Pradesh,Cuddapah,516127,1,4,5
Andhra Pradesh,Cuddapah,516128,1,5,6
Andhra Pradesh,Cuddapah,516150,1,6,7
Andhra Pradesh,Cuddapah,516151,0,3,3
Andhra Pradesh,Cuddapah,516152,0,2,2
Andhra Pradesh,Cuddapah,516163,0,2,2
Andhra Pradesh,Cuddapah,516172,2,10,12
Andhra Pradesh,Cuddapah,516173,1,5,6
Andhra Pradesh,Cuddapah,516175,1,8,9
Andhra Pradesh,Cuddapah,516193,2,14,16
Andhra Pradesh,Cuddapah,516203,1,6,7
Andhra Pradesh,Cuddapah,516213,1,5,6
Andhra Pradesh,Cuddapah,516214,1,5,6
Andhra Pradesh,Cuddapah,516215,1,5,6
Andhra Pradesh,Cuddapah,516216,1,5,6
Andhra Pradesh,Cuddapah,516217,2,8,10
Andhra Pradesh,Cuddapah,516218,1,4,5
Andhra Pradesh,Cuddapah,516228,1,5,6
Andhra Pradesh,Cuddapah,516233,1,7,8
Andhra Pradesh,Cuddapah,516237,0,3,3
Andhra Pradesh,Cuddapah,516247,1,5,6
Andhra Pradesh,Cuddapah,516257,2,12,14
Andhra Pradesh,Cuddapah,516259,1,5,6
Andhra Pradesh,Cuddapah,516267,2,12,14
Andhra Pradesh,Cuddapah,516269,6,32,38
Andhra Pradesh,Cuddapah,516270,0,2,2
Andhra Pradesh,Cuddapah,516293,1,5,6
Andhra Pradesh,Cuddapah,516310,1,2,3
Andhra Pradesh,Cuddapah,516311,0,1,1
Andhra Pradesh,Cuddapah,516312,0,1,1
Andhra Pradesh,Cuddapah,516321,1,4,5
Andhra Pradesh,Cuddapah,516329,1,8,9
Andhra Pradesh,Cuddapah,516339,1,4,5
Andhra Pradesh,Cuddapah,516349,1,4,5
Andhra Pradesh,Cuddapah,516350,1,2,3
Andhra Pradesh,Cuddapah,516355,1,4,5
Andhra Pradesh,Cuddapah,516356,0,1,1
Andhra Pradesh,Cuddapah,516359,1,8,9
Andhra Pradesh,Cuddapah,516362,1,8,9
Andhra Pradesh,Cuddapah,516380,1,5,6
Andhra Pradesh,Cuddapah,516396,0,3,3
Andhra Pradesh,Cuddapah,516401,0,3,3
Andhra Pradesh,Cuddapah,516421,0,2,2
Andhra Pradesh,Cuddapah,516431,0,2,2
Andhra Pradesh,Cuddapah,516432,0,2,2
Andhra Pradesh,Cuddapah,516433,1,2,3
Andhra Pradesh,Cuddapah,516439,0,2,2
Andhra Pradesh,Cuddapah,516444,1,4,5
Andhra Pradesh,Cuddapah,516454,1,4,5
Andhra Pradesh,Cuddapah,516484,0,2,2
Andhra Pradesh,Cuddapah,516501,1,6,7
Andhra Pradesh,Cuddapah,516502,1,4,5
Andhra Pradesh,Cuddapah,516505,1,5,6
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533212,2,15,17
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533216,1,11,12
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533222,1,11,12
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533233,1,3,4
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533241,0,1,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533242,0,2,2
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533244,1,6,7
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533248,1,7,8
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533249,1,4,5
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533255,2,15,17
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533256,0,1,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533261,1,4,5
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533305,1,6,7
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533308,1,10,11
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533345,1,4,5
Andhra Pradesh,East Godavari,507113,0,1,1
Andhra Pradesh,East Godavari,507126,0,2,2
Andhra Pradesh,East Godavari,507134,1,7,8
Andhra Pradesh,East Godavari,531110,0,1,1
Andhra Pradesh,East Godavari,533002,1,10,11
Andhra Pradesh,East Godavari,533003,2,13,15
Andhra Pradesh,East Godavari,533016,2,11,13
Andhra Pradesh,East Godavari,533101,22,157,179
Andhra Pradesh,East Godavari,533102,4,24,28
Andhra Pradesh,East Godavari,533103,1,10,11
Andhra Pradesh,East Godavari,533104,0,2,2
Andhra Pradesh,East Godavari,533105,2,15,17
Andhra Pradesh,East Godavari,533106,1,8,9
Andhra Pradesh,East Godavari,533107,7,46,53
Andhra Pradesh,East Godavari,533124,2,14,16
Andhra Pradesh,East Godavari,533125,3,19,22
Andhra Pradesh,East Godavari,533126,4,25,29
Andhra Pradesh,East Godavari,533201,2,13,15
Andhra Pradesh,East Godavari,533210,1,4,5
Andhra Pradesh,East Godavari,533211,1,8,9
Andhra Pradesh,East Godavari,533213,1,7,8
Andhra Pradesh,East Godavari,533214,1,4,5
Andhra Pradesh,East Godavari,533215,0,1,1
Andhra Pradesh,East Godavari,533217,1,4,5
Andhra Pradesh,East Godavari,533218,0,3,3
Andhra Pradesh,East Godavari,533220,1,4,5
Andhra Pradesh,East Godavari,533221,1,6,7
Andhra Pradesh,East Godavari,533223,1,6,7
Andhra Pradesh,East Godavari,533228,1,4,5
Andhra Pradesh,East Godavari,533229,1,5,6
Andhra Pradesh,East Godavari,533232,1,5,6
Andhra Pradesh,East Godavari,533234,1,4,5
Andhra Pradesh,East Godavari,533235,1,5,6
Andhra Pradesh,East Godavari,533236,1,7,8
Andhra Pradesh,East Godavari,533237,0,3,3
Andhra Pradesh,East Godavari,533238,1,7,8
Andhra Pradesh,East Godavari,533239,0,2,2
Andhra Pradesh,East Godavari,533240,0,4,4
Andhra Pradesh,East Godavari,533247,1,9,10
Andhra Pradesh,East Godavari,533250,1,3,4
Andhra Pradesh,East Godavari,533251,1,7,8
Andhra Pradesh,East Godavari,533252,1,8,9
Andhra Pradesh,East Godavari,533253,0,2,2
Andhra Pradesh,East Godavari,533254,1,4,5
Andhra Pradesh,East Godavari,533262,1,6,7
Andhra Pradesh,East Godavari,533263,0,3,3
Andhra Pradesh,East Godavari,533264,0,3,3
Andhra Pradesh,East Godavari,533274,1,4,5
Andhra Pradesh,East Godavari,533284,0,3,3
Andhra Pradesh,East Godavari,533286,2,14,16
Andhra Pradesh,East Godavari,533287,4,18,22
Andhra Pradesh,East Godavari,533289,5,30,35
Andhra Pradesh,East Godavari,533290,0,3,3
Andhra Pradesh,East Godavari,533291,1,6,7
Andhra Pradesh,East Godavari,533292,1,3,4
Andhra Pradesh,East Godavari,533293,1,7,8
Andhra Pradesh,East Godavari,533294,2,17,19
Andhra Pradesh,East Godavari,533296,1,11,12
Andhra Pradesh,East Godavari,533297,0,4,4
Andhra Pradesh,East Godavari,533306,0,2,2
Andhra Pradesh,East Godavari,533307,1,4,5
Andhra Pradesh,East Godavari,533309,1,5,6
Andhra Pradesh,East Godavari,533339,1,3,4
Andhra Pradesh,East Godavari,533340,0,2,2
Andhra Pradesh,East Godavari,533341,1,8,9
Andhra Pradesh,East Godavari,533342,2,12,14
Andhra Pradesh,East Godavari,533343,2,15,17
Andhra Pradesh,East Godavari,533344,1,7,8
Andhra Pradesh,East Godavari,533346,0,2,2
Andhra Pradesh,East Godavari,533429,1,11,12
Andhra Pradesh,East Godavari,533430,1,9,10
Andhra Pradesh,East Godavari,533432,1,5,6
Andhra Pradesh,East Godavari,533433,1,7,8
Andhra Pradesh,East Godavari,533436,2,15,17
Andhra Pradesh,East Godavari,533444,0,2,2
Andhra Pradesh,East Godavari,533445,1,9,10
Andhra Pradesh,East Godavari,533446,2,8,10
Andhra Pradesh,East Godavari,533448,1,5,6
Andhra Pradesh,East Godavari,533449,2,12,14
Andhra Pradesh,East Godavari,533461,1,4,5
Andhra Pradesh,East Godavari,533464,0,5,5
Andhra Pradesh,East Godavari,533577,1,5,6
Andhra Pradesh,East Godavari,534112,1,5,6
Andhra Pradesh,East Godavari,534216,1,4,5
Andhra Pradesh,East Godavari,534218,1,5,6
Andhra Pradesh,East Godavari,534301,3,18,21
Andhra Pradesh,East Godavari,534316,1,10,11
Andhra Pradesh,East Godavari,534328,0,3,3
Andhra Pradesh,East Godavari,534329,1,6,7
Andhra Pradesh,East Godavari,534342,1,9,10
Andhra Pradesh,East Godavari,534350,3,17,20
Andhra Pradesh,Eluru,507121,0,3,3
Andhra Pradesh,Eluru,521111,1,7,8
Andhra Pradesh,Eluru,521201,1,13,14
Andhra Pradesh,Eluru,521213,1,8,9
Andhra Pradesh,Eluru,521325,1,4,5
Andhra Pradesh,Eluru,521329,1,4,5
Andhra Pradesh,Eluru,521333,1,7,8
Andhra Pradesh,Eluru,521340,1,3,4
Andhra Pradesh,Eluru,534001,2,17,19
Andhra Pradesh,Eluru,534004,1,4,5
Andhra Pradesh,Eluru,534197,0,2,2
Andhra Pradesh,Eluru,534311,1,3,4
Andhra Pradesh,Eluru,534312,1,12,13
Andhra Pradesh,Eluru,534315,0,3,3
Andhra Pradesh,Eluru,534425,1,7,8
Andhra Pradesh,Eluru,534426,1,8,9
Andhra Pradesh,Eluru,534435,0,1,1
Andhra Pradesh,Eluru,534437,0,3,3
Andhra Pradesh,Eluru,534447,4,24,28
Andhra Pradesh,Eluru,534452,1,7,8
Andhra Pradesh,Eluru,534455,0,1,1
Andhra Pradesh,Eluru,534456,1,5,6
Andhra Pradesh,Eluru,534461,0,3,3
Andhra Pradesh,Eluru,534475,1,5,6
Andhra Pradesh,Guntur,522001,17,121,138
Andhra Pradesh,Guntur,522002,4,32,36
Andhra Pradesh,Guntur,522003,12,76,88
Andhra Pradesh,Guntur,522004,10,56,66
Andhra Pradesh,Guntur,522005,6,40,46
Andhra Pradesh,Guntur,522006,12,89,101
Andhra Pradesh,Guntur,522007,2,15,17
Andhra Pradesh,Guntur,522009,0,1,1
Andhra Pradesh,Guntur,522015,1,3,4
Andhra Pradesh,Guntur,522016,1,6,7
Andhra Pradesh,Guntur,522017,2,15,17
Andhra Pradesh,Guntur,522018,1,7,8
Andhra Pradesh,Guntur,522019,2,15,17
Andhra Pradesh,Guntur,522020,1,6,7
Andhra Pradesh,Guntur,522034,4,25,29
Andhra Pradesh,Guntur,522101,3,23,26
Andhra Pradesh,Guntur,522111,2,11,13
Andhra Pradesh,Guntur,522112,1,4,5
Andhra Pradesh,Guntur,522113,0,2,2
Andhra Pradesh,Guntur,522124,5,45,50
Andhra Pradesh,Guntur,522201,15,111,126
Andhra Pradesh,Guntur,522202,2,19,21
Andhra Pradesh,Guntur,522211,1,5,6
Andhra Pradesh,Guntur,522212,3,24,27
Andhra Pradesh,Guntur,522213,1,11,12
Andhra Pradesh,Guntur,522235,1,11,12
Andhra Pradesh,Guntur,522236,1,6,7
Andhra Pradesh,Guntur,522237,1,10,11
Andhra Pradesh,Guntur,522256,0,4,4
Andhra Pradesh,Guntur,522258,0,2,2
Andhra Pradesh,Guntur,522259,1,5,6
Andhra Pradesh,Guntur,522262,1,8,9
Andhra Pradesh,Guntur,522264,1,6,7
Andhra Pradesh,Guntur,522301,0,3,3
Andhra Pradesh,Guntur,522302,1,7,8
Andhra Pradesh,Guntur,522303,0,3,3
Andhra Pradesh,Guntur,522304,1,9,10
Andhra Pradesh,Guntur,522305,0,2,2
Andhra Pradesh,Guntur,522306,0,4,4
Andhra Pradesh,Guntur,522307,1,3,4
Andhra Pradesh,Guntur,522308,0,3,3
Andhra Pradesh,Guntur,522309,1,5,6
Andhra Pradesh,Guntur,522312,0,2,2
Andhra Pradesh,Guntur,522313,0,3,3
Andhra Pradesh,Guntur,522314,1,6,7
Andhra Pradesh,Guntur,522315,1,6,7
Andhra Pradesh,Guntur,522316,0,3,3
Andhra Pradesh,Guntur,522317,0,2,2
Andhra Pradesh,Guntur,522318,1,3,4
Andhra Pradesh,Guntur,522325,0,2,2
Andhra Pradesh,Guntur,522329,1,4,5
Andhra Pradesh,Guntur,522330,1,9,10
Andhra Pradesh,Guntur,522341,0,3,3
Andhra Pradesh,Guntur,522401,1,5,6
Andhra Pradesh,Guntur,522402,2,11,13
Andhra Pradesh,Guntur,522409,1,7,8
Andhra Pradesh,Guntur,522410,2,17,19
Andhra Pradesh,Guntur,522411,2,9,11
Andhra Pradesh,Guntur,522412,1,7,8
Andhra Pradesh,Guntur,522413,5,30,35
Andhra Pradesh,Guntur,522414,2,12,14
Andhra Pradesh,Guntur,522415,1,6,7
Andhra Pradesh,Guntur,522421,2,8,10
Andhra Pradesh,Guntur,522435,0,3,3
Andhra Pradesh,Guntur,522437,1,6,7
Andhra Pradesh,Guntur,522438,2,13,15
Andhra Pradesh,Guntur,522439,0,1,1
Andhra Pradesh,Guntur,522501,6,44,50
Andhra Pradesh,Guntur,522502,0,3,3
Andhra Pradesh,Guntur,522503,13,91,104
