state,district,pincode,age_0_5,age_5_17,age_18_greater,total
Andhra Pradesh,Anakapalli,531022,1,0,0,1
Andhra Pradesh,Anakapalli,531023,1,0,0,1
Andhra Pradesh,Anakapalli,531025,2,0,0,2
Andhra Pradesh,Anakapalli,531026,2,0,0,2
Andhra Pradesh,Anakapalli,531027,2,0,0,2
Andhra Pradesh,Anakapalli,531028,1,0,0,1
Andhra Pradesh,Anakapalli,531031,1,0,0,1
Andhra Pradesh,Anakapalli,531032,2,0,0,2
Andhra Pradesh,Anakapalli,531033,2,0,0,2
Andhra Pradesh,Anakapalli,531034,1,0,0,1
Andhra Pradesh,Anakapalli,531035,2,0,0,2
Andhra Pradesh,Anakapalli,531036,2,0,0,2
Andhra Pradesh,Anakapalli,531055,2,0,0,2
Andhra Pradesh,Anakapalli,531060,1,0,0,1
Andhra Pradesh,Anakapalli,531061,2,0,0,2
Andhra Pradesh,Anakapalli,531075,1,0,0,1
Andhra Pradesh,Anakapalli,531081,2,0,0,2
Andhra Pradesh,Anakapalli,531082,1,0,0,1
Andhra Pradesh,Anakapalli,531083,1,0,0,1
Andhra Pradesh,Anakapalli,531085,1,0,0,1
Andhra Pradesh,Anakapalli,531113,2,0,0,2
Andhra Pradesh,Anakapalli,531115,2,0,0,2
Andhra Pradesh,Anakapalli,531117,1,0,0,1
Andhra Pradesh,Anakapalli,531126,2,0,0,2
Andhra Pradesh,Anakapalli,531127,2,0,0,2
Andhra Pradesh,Anantapur,515001,2,0,0,2
Andhra Pradesh,Anantapur,515002,1,0,0,1
Andhra Pradesh,Anantapur,515003,1,0,0,1
Andhra Pradesh,Anantapur,515004,2,0,0,2
Andhra Pradesh,Anantapur,515101,1,0,0,1
Andhra Pradesh,Anantapur,515110,1,0,0,1
Andhra Pradesh,Anantapur,515122,1,0,0,1
Andhra Pradesh,Anantapur,515123,1,0,0,1
Andhra Pradesh,Anantapur,515124,1,0,0,1
Andhra Pradesh,Anantapur,515133,1,0,0,1
Andhra Pradesh,Anantapur,515134,1,0,0,1
Andhra Pradesh,Anantapur,515144,1,0,0,1
Andhra Pradesh,Anantapur,515154,1,0,0,1
Andhra Pradesh,Anantapur,515159,1,0,0,1
Andhra Pradesh,Anantapur,515164,1,0,0,1
Andhra Pradesh,Anantapur,515201,2,0,0,2
Andhra Pradesh,Anantapur,515211,1,0,0,1
Andhra Pradesh,Anantapur,515212,1,0,0,1
Andhra Pradesh,Anantapur,515231,1,0,0,1
Andhra Pradesh,Anantapur,515241,1,0,0,1
Andhra Pradesh,Anantapur,515261,1,0,0,1
Andhra Pradesh,Anantapur,515271,1,0,0,1
Andhra Pradesh,Anantapur,515281,1,0,0,1
Andhra Pradesh,Anantapur,515286,1,0,0,1
Andhra Pradesh,Anantapur,515291,1,0,0,1
Andhra Pradesh,Anantapur,515301,1,0,0,1
Andhra Pradesh,Anantapur,515303,1,0,0,1
Andhra Pradesh,Anantapur,515305,1,0,0,1
Andhra Pradesh,Anantapur,515311,1,0,0,1
Andhra Pradesh,Anantapur,515321,1,0,0,1
Andhra Pradesh,Anantapur,515331,1,0,0,1
Andhra Pradesh,Anantapur,515341,1,0,0,1
Andhra Pradesh,Anantapur,515401,2,0,0,2
Andhra Pradesh,Anantapur,515402,1,0,0,1
Andhra Pradesh,Anantapur,515405,1,0,0,1
Andhra Pradesh,Anantapur,515408,1,0,0,1
Andhra Pradesh,Anantapur,515411,2,0,0,2
Andhra Pradesh,Anantapur,515414,1,0,0,1
Andhra Pradesh,Anantapur,515415,1,0,0,1
Andhra Pradesh,Anantapur,515425,2,0,0,2
Andhra Pradesh,Anantapur,515435,1,0,0,1
Andhra Pradesh,Anantapur,515445,1,0,0,1
Andhra Pradesh,Anantapur,515455,1,0,0,1
Andhra Pradesh,Anantapur,515465,1,0,0,1
Andhra Pradesh,Anantapur,515501,1,0,0,1
Andhra Pradesh,Anantapur,515511,1,0,0,1
Andhra Pradesh,Anantapur,515521,1,0,0,1
Andhra Pradesh,Anantapur,515531,1,0,0,1
Andhra Pradesh,Anantapur,515541,1,0,0,1
Andhra Pradesh,Anantapur,515551,1,0,0,1
Andhra Pradesh,Anantapur,515556,1,0,0,1
Andhra Pradesh,Anantapur,515561,1,0,0,1
Andhra Pradesh,Anantapur,515571,1,0,0,1
Andhra Pradesh,Anantapur,515581,1,0,0,1
Andhra Pradesh,Anantapur,515591,2,0,0,2
Andhra Pradesh,Anantapur,515601,1,0,0,1
Andhra Pradesh,Anantapur,515611,1,0,0,1
Andhra Pradesh,Anantapur,515621,1,0,0,1
Andhra Pradesh,Anantapur,515631,1,0,0,1
Andhra Pradesh,Anantapur,515641,1,0,0,1
Andhra Pradesh,Anantapur,515651,1,0,0,1
Andhra Pradesh,Anantapur,515661,1,0,0,1
Andhra Pradesh,Anantapur,515671,2,0,0,2
Andhra Pradesh,Anantapur,515672,1,0,0,1
Andhra Pradesh,Anantapur,515701,2,0,0,2
Andhra Pradesh,Anantapur,515711,1,0,0,1
Andhra Pradesh,Anantapur,515721,1,0,0,1
Andhra Pradesh,Anantapur,515722,1,0,0,1
Andhra Pradesh,Anantapur,515731,1,0,0,1
Andhra Pradesh,Anantapur,515741,1,0,0,1
Andhra Pradesh,Anantapur,515751,1,0,0,1
Andhra Pradesh,Anantapur,515761,2,0,0,2
Andhra Pradesh,Anantapur,515763,1,0,0,1
Andhra Pradesh,Anantapur,515765,1,0,0,1
Andhra Pradesh,Anantapur,515766,2,0,0,2
Andhra Pradesh,Anantapur,515767,1,0,0,1
Andhra Pradesh,Anantapur,515774,1,0,0,1
Andhra Pradesh,Anantapur,515775,1,0,0,1
Andhra Pradesh,Anantapur,515787,1,0,0,1
Andhra Pradesh,Anantapur,515801,2,0,0,2
Andhra Pradesh,Anantapur,515803,1,0,0,1
Andhra Pradesh,Anantapur,515812,2,0,0,2
Andhra Pradesh,Anantapur,515822,1,0,0,1
Andhra Pradesh,Anantapur,515832,1,0,0,1
Andhra Pradesh,Anantapur,515842,1,0,0,1
Andhra Pradesh,Anantapur,515863,1,0,0,1
Andhra Pradesh,Anantapur,515865,3,0,0,3
Andhra Pradesh,Anantapur,515867,1,0,0,1
Andhra Pradesh,Anantapur,515870,2,0,0,2
Andhra Pradesh,Anantapur,515871,2,0,0,2
Andhra Pradesh,Anantapur,515872,1,0,0,1
Andhra Pradesh,Ananthapur,515005,1,0,0,1
Andhra Pradesh,Annamayya,516101,2,0,0,2
Andhra Pradesh,Annamayya,516104,1,0,0,1
Andhra Pradesh,Annamayya,516105,1,0,0,1
Andhra Pradesh,Annamayya,516107,2,0,0,2
Andhra Pradesh,Annamayya,516108,2,0,0,2
Andhra Pradesh,Annamayya,516110,1,0,0,1
Andhra Pradesh,Annamayya,516115,1,0,0,1
Andhra Pradesh,Annamayya,516126,1,0,0,1
Andhra Pradesh,Annamayya,516127,1,0,0,1
Andhra Pradesh,Annamayya,516128,1,0,0,1
Andhra Pradesh,Annamayya,516129,1,0,0,1
Andhra Pradesh,Annamayya,516130,1,0,0,1
Andhra Pradesh,Annamayya,516150,2,0,0,2
Andhra Pradesh,Annamayya,516151,1,0,0,1
Andhra Pradesh,Annamayya,516214,2,0,0,2
Andhra Pradesh,Annamayya,516215,2,0,0,2
Andhra Pradesh,Annamayya,516257,2,0,0,2
Andhra Pradesh,Annamayya,516267,2,0,0,2
Andhra Pradesh,Annamayya,516268,1,0,0,1
Andhra Pradesh,Annamayya,516269,4,0,0,4
Andhra Pradesh,Annamayya,516270,1,0,0,1
Andhra Pradesh,Annamayya,516504,1,0,0,1
Andhra Pradesh,Annamayya,517213,1,0,0,1
Andhra Pradesh,Annamayya,517214,2,0,0,2
Andhra Pradesh,Annamayya,517234,2,0,0,2
Andhra Pradesh,Annamayya,517235,1,0,0,1
Andhra Pradesh,Annamayya,517236,2,0,0,2
Andhra Pradesh,Annamayya,517237,1,0,0,1
Andhra Pradesh,Annamayya,517247,4,0,0,4
Andhra Pradesh,Annamayya,517277,1,0,0,1
Andhra Pradesh,Annamayya,517280,1,0,0,1
Andhra Pradesh,Annamayya,517291,1,0,0,1
Andhra Pradesh,Annamayya,517297,2,0,0,2
Andhra Pradesh,Annamayya,517299,1,0,0,1
Andhra Pradesh,Annamayya,517305,1,0,0,1
Andhra Pradesh,Annamayya,517319,1,0,0,1
Andhra Pradesh,Annamayya,517325,4,0,0,4
Andhra Pradesh,Annamayya,517326,1,0,0,1
Andhra Pradesh,Annamayya,517350,1,0,0,1
Andhra Pradesh,Annamayya,517351,1,0,0,1
Andhra Pradesh,Annamayya,517352,1,0,0,1
Andhra Pradesh,Annamayya,517370,1,0,0,1
Andhra Pradesh,Annamayya,517390,1,0,0,1
Andhra Pradesh,Annamayya,517391,1,0,0,1
Andhra Pradesh,Annamayya,517417,2,0,0,2
Andhra Pradesh,Annamayya,517418,1,0,0,1
Andhra Pradesh,Bapatla,522101,2,0,0,2
Andhra Pradesh,Bapatla,522111,1,0,0,1
Andhra Pradesh,Bapatla,522113,2,0,0,2
Andhra Pradesh,Bapatla,522211,1,0,0,1
Andhra Pradesh,Bapatla,522256,1,0,0,1
Andhra Pradesh,Bapatla,522257,1,0,0,1
Andhra Pradesh,Bapatla,522258,1,0,0,1
Andhra Pradesh,Bapatla,522259,1,0,0,1
Andhra Pradesh,Bapatla,522261,1,0,0,1
Andhra Pradesh,Bapatla,522262,1,0,0,1
Andhra Pradesh,Bapatla,522264,1,0,0,1
Andhra Pradesh,Bapatla,522265,2,0,0,2
Andhra Pradesh,Bapatla,522268,1,0,0,1
Andhra Pradesh,Bapatla,522301,1,0,0,1
Andhra Pradesh,Bapatla,522309,1,0,0,1
Andhra Pradesh,Bapatla,522310,1,0,0,1
Andhra Pradesh,Bapatla,522311,1,0,0,1
Andhra Pradesh,Bapatla,522312,1,0,0,1
Andhra Pradesh,Bapatla,522313,1,0,0,1
Andhra Pradesh,Bapatla,522314,2,0,0,2
Andhra Pradesh,Bapatla,522315,2,0,0,2
Andhra Pradesh,Bapatla,522317,1,0,0,1
Andhra Pradesh,Bapatla,522318,1,0,0,1
Andhra Pradesh,Bapatla,522324,1,0,0,1
Andhra Pradesh,Bapatla,522325,1,0,0,1
Andhra Pradesh,Bapatla,522329,1,0,0,1
Andhra Pradesh,Bapatla,522341,1,0,0,1
Andhra Pradesh,Bapatla,523135,1,0,0,1
Andhra Pradesh,Bapatla,523155,1,0,0,1
Andhra Pradesh,Bapatla,523157,2,0,0,2
Andhra Pradesh,Bapatla,523165,1,0,0,1
Andhra Pradesh,Bapatla,523166,1,0,0,1
Andhra Pradesh,Bapatla,523167,1,0,0,1
Andhra Pradesh,Bapatla,523168,1,0,0,1
Andhra Pradesh,Bapatla,523169,2,0,0,2
Andhra Pradesh,Bapatla,523170,1,0,0,1
Andhra Pradesh,Bapatla,523171,1,0,0,1
Andhra Pradesh,Bapatla,523181,1,0,0,1
Andhra Pradesh,Bapatla,523184,1,0,0,1
Andhra Pradesh,Bapatla,523185,1,0,0,1
Andhra Pradesh,Bapatla,523186,1,0,0,1
Andhra Pradesh,Bapatla,523187,1,0,0,1
Andhra Pradesh,Bapatla,523190,1,0,0,1
Andhra Pradesh,Bapatla,523201,2,0,0,2
Andhra Pradesh,Bapatla,523212,2,0,0,2
Andhra Pradesh,Bapatla,523213,1,0,0,1
Andhra Pradesh,Bapatla,523214,0,0,0,0
Andhra Pradesh,Bapatla,523260,1,0,0,1
Andhra Pradesh,Bapatla,523261,2,0,0,2
Andhra Pradesh,Bapatla,523263,2,0,0,2
Andhra Pradesh,Bapatla,523301,2,0,0,2
Andhra Pradesh,Bapatla,523302,2,0,0,2
Andhra Pradesh,Bapatla,523303,2,0,0,2
Andhra Pradesh,Chittoor,517001,3,0,0,3
Andhra Pradesh,Chittoor,517002,2,0,0,2
Andhra Pradesh,Chittoor,517004,2,0,0,2
Andhra Pradesh,Chittoor,517101,1,0,0,1
Andhra Pradesh,Chittoor,517102,1,0,0,1
Andhra Pradesh,Chittoor,517112,1,0,0,1
Andhra Pradesh,Chittoor,517113,1,0,0,1
Andhra Pradesh,Chittoor,517123,1,0,0,1
Andhra Pradesh,Chittoor,517124,1,0,0,1
Andhra Pradesh,Chittoor,517125,2,0,0,2
Andhra Pradesh,Chittoor,517126,2,0,0,2
Andhra Pradesh,Chittoor,517127,2,0,0,2
Andhra Pradesh,Chittoor,517128,1,0,0,1
Andhra Pradesh,Chittoor,517129,1,0,0,1
Andhra Pradesh,Chittoor,517130,2,0,0,2
Andhra Pradesh,Chittoor,517131,2,0,0,2
Andhra Pradesh,Chittoor,517132,2,0,0,2
Andhra Pradesh,Chittoor,517152,1,0,0,1
Andhra Pradesh,Chittoor,517167,2,0,0,2
Andhra Pradesh,Chittoor,517172,2,0,0,2
Andhra Pradesh,Chittoor,517192,1,0,0,1
Andhra Pradesh,Chittoor,517193,1,0,0,1
Andhra Pradesh,Chittoor,517194,1,0,0,1
Andhra Pradesh,Chittoor,517257,2,0,0,2
Andhra Pradesh,Chittoor,517330,1,0,0,1
Andhra Pradesh,Chittoor,517401,2,0,0,2
Andhra Pradesh,Chittoor,517403,1,0,0,1
Andhra Pradesh,Chittoor,517408,4,0,0,4
Andhra Pradesh,Chittoor,517414,1,0,0,1
Andhra Pradesh,Chittoor,517415,3,0,0,3
Andhra Pradesh,Chittoor,517416,2,0,0,2
Andhra Pradesh,Chittoor,517419,1,0,0,1
Andhra Pradesh,Chittoor,517421,2,0,0,2
Andhra Pradesh,Chittoor,517422,2,0,0,2
Andhra Pradesh,Chittoor,517423,2,0,0,2
Andhra Pradesh,Chittoor,517424,3,0,0,3
Andhra Pradesh,Chittoor,517425,7,0,0,7
Andhra Pradesh,Chittoor,517426,1,0,0,1
Andhra Pradesh,Chittoor,517429,2,0,0,2
Andhra Pradesh,Chittoor,517432,2,0,0,2
Andhra Pradesh,Chittoor,517501,3,0,0,3
Andhra Pradesh,Chittoor,517502,1,0,0,1
Andhra Pradesh,Chittoor,517503,1,0,0,1
Andhra Pradesh,Chittoor,517504,1,0,0,1
Andhra Pradesh,Chittoor,517505,1,0,0,1
Andhra Pradesh,Chittoor,517506,1,0,0,1
Andhra Pradesh,Chittoor,517507,2,0,0,2
Andhra Pradesh,Chittoor,517520,2,1,0,3
Andhra Pradesh,Chittoor,517526,1,1,0,2
Andhra Pradesh,Chittoor,517536,1,0,0,1
Andhra Pradesh,Chittoor,517541,2,1,0,3
Andhra Pradesh,Chittoor,517551,1,0,0,1
Andhra Pradesh,Chittoor,517561,1,0,0,1
Andhra Pradesh,Chittoor,517569,2,0,0,2
Andhra Pradesh,Chittoor,517571,1,0,0,1
Andhra Pradesh,Chittoor,517581,2,0,0,2
Andhra Pradesh,Chittoor,517582,2,0,0,2
Andhra Pradesh,Chittoor,517583,2,0,0,2
Andhra Pradesh,Chittoor,517584,1,0,0,1
Andhra Pradesh,Chittoor,517586,2,0,0,2
Andhra Pradesh,Chittoor,517587,1,0,0,1
Andhra Pradesh,Chittoor,517588,2,0,0,2
Andhra Pradesh,Chittoor,517589,2,0,0,2
Andhra Pradesh,Chittoor,517590,2,0,0,2
Andhra Pradesh,Chittoor,517591,2,0,0,2
Andhra Pradesh,Chittoor,517592,2,0,0,2
Andhra Pradesh,Chittoor,517599,2,0,0,2
Andhra Pradesh,Chittoor,517619,1,1,0,2
Andhra Pradesh,Chittoor,517620,1,1,0,2
Andhra Pradesh,Chittoor,517640,1,1,0,2
Andhra Pradesh,Chittoor,517641,1,0,0,1
Andhra Pradesh,Chittoor,517642,1,0,0,1
Andhra Pradesh,Chittoor,517643,1,0,0,1
Andhra Pradesh,Chittoor,517644,2,0,0,2
Andhra Pradesh,Chittoor,517645,0,1,0,1
Andhra Pradesh,Chittoor,631302,2,1,0,3
Andhra Pradesh,Chittoor,635121,3,0,0,3
Andhra Pradesh,Cuddapah,516001,3,0,0,3
Andhra Pradesh,Cuddapah,516002,2,0,0,2
Andhra Pradesh,Cuddapah,516003,3,0,0,3
Andhra Pradesh,Cuddapah,516004,2,0,0,2
Andhra Pradesh,Cuddapah,516152,1,0,0,1
Andhra Pradesh,Cuddapah,516162,2,0,0,2
Andhra Pradesh,Cuddapah,516163,1,0,0,1
Andhra Pradesh,Cuddapah,516172,2,0,0,2
Andhra Pradesh,Cuddapah,516173,2,0,0,2
Andhra Pradesh,Cuddapah,516175,2,0,0,2
Andhra Pradesh,Cuddapah,516193,2,0,0,2
Andhra Pradesh,Cuddapah,516203,2,0,0,2
Andhra Pradesh,Cuddapah,516213,1,0,0,1
Andhra Pradesh,Cuddapah,516216,1,0,0,1
Andhra Pradesh,Cuddapah,516217,1,0,0,1
Andhra Pradesh,Cuddapah,516218,1,0,0,1
Andhra Pradesh,Cuddapah,516227,2,0,0,2
Andhra Pradesh,Cuddapah,516228,1,0,0,1
Andhra Pradesh,Cuddapah,516233,1,0,0,1
Andhra Pradesh,Cuddapah,516237,1,0,0,1
Andhra Pradesh,Cuddapah,516247,1,0,0,1
Andhra Pradesh,Cuddapah,516259,2,0,0,2
Andhra Pradesh,Cuddapah,516289,2,0,0,2
Andhra Pradesh,Cuddapah,516293,1,0,0,1
Andhra Pradesh,Cuddapah,516309,1,0,0,1
Andhra Pradesh,Cuddapah,516310,1,0,0,1
Andhra Pradesh,Cuddapah,516312,1,0,0,1
Andhra Pradesh,Cuddapah,516321,1,0,0,1
Andhra Pradesh,Cuddapah,516329,2,0,0,2
Andhra Pradesh,Cuddapah,516339,1,0,0,1
Andhra Pradesh,Cuddapah,516349,1,0,0,1
Andhra Pradesh,Cuddapah,516350,1,0,0,1
Andhra Pradesh,Cuddapah,516355,1,0,0,1
Andhra Pradesh,Cuddapah,516356,1,0,0,1
Andhra Pradesh,Cuddapah,516359,1,0,0,1
Andhra Pradesh,Cuddapah,516360,4,0,0,4
Andhra Pradesh,Cuddapah,516361,1,0,0,1
Andhra Pradesh,Cuddapah,516362,2,0,0,2
Andhra Pradesh,Cuddapah,516380,1,0,0,1
Andhra Pradesh,Cuddapah,516390,2,0,0,2
Andhra Pradesh,Cuddapah,516396,1,0,0,1
Andhra Pradesh,Cuddapah,516401,1,0,0,1
Andhra Pradesh,Cuddapah,516411,1,0,0,1
Andhra Pradesh,Cuddapah,516421,1,0,0,1
Andhra Pradesh,Cuddapah,516431,1,0,0,1
Andhra Pradesh,Cuddapah,516432,1,0,0,1
Andhra Pradesh,Cuddapah,516433,2,0,0,2
Andhra Pradesh,Cuddapah,516434,2,0,0,2
Andhra Pradesh,Cuddapah,516439,1,0,0,1
Andhra Pradesh,Cuddapah,516444,1,0,0,1
Andhra Pradesh,Cuddapah,516454,1,0,0,1
Andhra Pradesh,Cuddapah,516464,1,0,0,1
Andhra Pradesh,Cuddapah,516474,1,0,0,1
Andhra Pradesh,Cuddapah,516484,1,0,0,1
Andhra Pradesh,Cuddapah,516501,1,0,0,1
Andhra Pradesh,Cuddapah,516502,1,0,0,1
Andhra Pradesh,Cuddapah,516503,1,0,0,1
Andhra Pradesh,Cuddapah,516505,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533126,2,0,0,2
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533201,2,0,0,2
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533210,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533211,2,0,0,2
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533212,2,0,0,2
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533213,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533214,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533215,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533216,2,0,0,2
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533217,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533218,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533220,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533221,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533222,2,0,0,2
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533223,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533228,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533229,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533232,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533233,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533234,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533235,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533236,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533237,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533238,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533240,1,0,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533241,1,0,0,1
