state,district,pincode,bio_age_5_17,bio_age_17_,total
Andhra Pradesh,Chittoor,517592,19,10,29
Andhra Pradesh,Chittoor,517599,10,5,15
Andhra Pradesh,Chittoor,517640,15,9,24
Andhra Pradesh,Chittoor,517641,9,5,14
Andhra Pradesh,Chittoor,517642,9,5,14
Andhra Pradesh,Chittoor,517643,14,7,21
Andhra Pradesh,Chittoor,517644,14,7,21
Andhra Pradesh,Cuddapah,516001,37,22,59
Andhra Pradesh,Cuddapah,516003,30,14,44
Andhra Pradesh,Cuddapah,516004,11,5,16
Andhra Pradesh,Cuddapah,516005,1,0,1
Andhra Pradesh,Cuddapah,516104,10,5,15
Andhra Pradesh,Cuddapah,516105,11,6,17
Andhra Pradesh,Cuddapah,516107,14,7,21
Andhra Pradesh,Cuddapah,516108,13,7,20
Andhra Pradesh,Cuddapah,516110,7,4,11
Andhra Pradesh,Cuddapah,516115,13,6,19
Andhra Pradesh,Cuddapah,516126,15,8,23
Andhra Pradesh,Cuddapah,516127,7,4,11
Andhra Pradesh,Cuddapah,516128,10,6,16
Andhra Pradesh,Cuddapah,516129,10,5,15
Andhra Pradesh,Cuddapah,516130,13,6,19
Andhra Pradesh,Cuddapah,516150,10,7,17
Andhra Pradesh,Cuddapah,516151,6,4,10
Andhra Pradesh,Cuddapah,516152,4,2,6
Andhra Pradesh,Cuddapah,516162,13,6,19
Andhra Pradesh,Cuddapah,516163,4,2,6
Andhra Pradesh,Cuddapah,516173,11,5,16
Andhra Pradesh,Cuddapah,516175,15,9,24
Andhra Pradesh,Cuddapah,516203,16,9,25
Andhra Pradesh,Cuddapah,516213,10,5,15
Andhra Pradesh,Cuddapah,516214,12,6,18
Andhra Pradesh,Cuddapah,516215,13,5,18
Andhra Pradesh,Cuddapah,516216,13,5,18
Andhra Pradesh,Cuddapah,516217,16,7,23
Andhra Pradesh,Cuddapah,516218,11,4,15
Andhra Pradesh,Cuddapah,516227,25,13,38
Andhra Pradesh,Cuddapah,516228,12,5,17
Andhra Pradesh,Cuddapah,516233,9,6,15
Andhra Pradesh,Cuddapah,516237,6,2,8
Andhra Pradesh,Cuddapah,516247,9,4,13
Andhra Pradesh,Cuddapah,516257,15,9,24
Andhra Pradesh,Cuddapah,516259,14,5,19
Andhra Pradesh,Cuddapah,516267,16,9,25
Andhra Pradesh,Cuddapah,516268,9,6,15
Andhra Pradesh,Cuddapah,516270,5,3,8
Andhra Pradesh,Cuddapah,516289,18,7,25
Andhra Pradesh,Cuddapah,516293,9,4,13
Andhra Pradesh,Cuddapah,516309,14,6,20
Andhra Pradesh,Cuddapah,516310,7,3,10
Andhra Pradesh,Cuddapah,516311,1,1,2
Andhra Pradesh,Cuddapah,516312,1,1,2
Andhra Pradesh,Cuddapah,516321,7,3,10
Andhra Pradesh,Cuddapah,516329,16,6,22
Andhra Pradesh,Cuddapah,516330,1,0,1
Andhra Pradesh,Cuddapah,516339,6,3,9
Andhra Pradesh,Cuddapah,516349,9,4,13
Andhra Pradesh,Cuddapah,516350,7,3,10
Andhra Pradesh,Cuddapah,516355,9,4,13
Andhra Pradesh,Cuddapah,516356,2,1,3
Andhra Pradesh,Cuddapah,516359,12,6,18
Andhra Pradesh,Cuddapah,516362,15,6,21
Andhra Pradesh,Cuddapah,516380,11,5,16
Andhra Pradesh,Cuddapah,516390,27,12,39
Andhra Pradesh,Cuddapah,516396,8,4,12
Andhra Pradesh,Cuddapah,516401,4,2,6
Andhra Pradesh,Cuddapah,516411,7,4,11
Andhra Pradesh,Cuddapah,516421,9,4,13
Andhra Pradesh,Cuddapah,516431,5,2,7
Andhra Pradesh,Cuddapah,516432,6,2,8
Andhra Pradesh,Cuddapah,516433,7,3,10
Andhra Pradesh,Cuddapah,516439,6,2,8
Andhra Pradesh,Cuddapah,516444,8,4,12
Andhra Pradesh,Cuddapah,516454,6,3,9
Andhra Pradesh,Cuddapah,516464,4,2,6
Andhra Pradesh,Cuddapah,516474,9,4,13
Andhra Pradesh,Cuddapah,516484,6,2,8
Andhra Pradesh,Cuddapah,516501,11,6,17
Andhra Pradesh,Cuddapah,516502,10,5,15
Andhra Pradesh,Cuddapah,516503,12,5,17
Andhra Pradesh,Cuddapah,516504,13,10,23
Andhra Pradesh,Cuddapah,516505,8,4,12
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533201,20,10,30
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533252,11,5,16
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533255,18,8,26
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533256,1,1,2
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533261,10,5,15
Andhra Pradesh,East Godavari,507113,2,2,4
Andhra Pradesh,East Godavari,507121,6,5,11
Andhra Pradesh,East Godavari,507126,3,4,7
Andhra Pradesh,East Godavari,507129,12,11,23
Andhra Pradesh,East Godavari,507134,11,4,15
Andhra Pradesh,East Godavari,531110,1,1,2
Andhra Pradesh,East Godavari,533001,27,15,42
Andhra Pradesh,East Godavari,533002,23,10,33
Andhra Pradesh,East Godavari,533003,16,9,25
Andhra Pradesh,East Godavari,533004,7,4,11
Andhra Pradesh,East Godavari,533005,34,16,50
Andhra Pradesh,East Godavari,533006,16,9,25
Andhra Pradesh,East Godavari,533016,17,7,24
Andhra Pradesh,East Godavari,533101,114,57,171
Andhra Pradesh,East Godavari,533102,21,8,29
Andhra Pradesh,East Godavari,533103,14,6,20
Andhra Pradesh,East Godavari,533104,7,2,9
Andhra Pradesh,East Godavari,533105,19,6,25
Andhra Pradesh,East Godavari,533106,7,4,11
Andhra Pradesh,East Godavari,533107,28,12,40
Andhra Pradesh,East Godavari,533124,15,7,22
Andhra Pradesh,East Godavari,533125,29,12,41
Andhra Pradesh,East Godavari,533126,36,12,48
Andhra Pradesh,East Godavari,533210,11,4,15
Andhra Pradesh,East Godavari,533211,15,7,22
Andhra Pradesh,East Godavari,533212,26,10,36
Andhra Pradesh,East Godavari,533213,14,5,19
Andhra Pradesh,East Godavari,533214,14,6,20
Andhra Pradesh,East Godavari,533215,5,2,7
Andhra Pradesh,East Godavari,533216,19,8,27
Andhra Pradesh,East Godavari,533217,13,5,18
Andhra Pradesh,East Godavari,533218,8,4,12
Andhra Pradesh,East Godavari,533220,14,7,21
Andhra Pradesh,East Godavari,533221,11,5,16
Andhra Pradesh,East Godavari,533222,22,10,32
Andhra Pradesh,East Godavari,533223,14,6,20
Andhra Pradesh,East Godavari,533228,11,4,15
Andhra Pradesh,East Godavari,533229,14,6,20
Andhra Pradesh,East Godavari,533232,7,4,11
Andhra Pradesh,East Godavari,533233,8,4,12
Andhra Pradesh,East Godavari,533234,13,5,18
Andhra Pradesh,East Godavari,533235,14,5,19
Andhra Pradesh,East Godavari,533236,11,5,16
Andhra Pradesh,East Godavari,533237,8,3,11
Andhra Pradesh,East Godavari,533238,15,7,22
Andhra Pradesh,East Godavari,533239,7,3,10
Andhra Pradesh,East Godavari,533240,10,4,14
Andhra Pradesh,East Godavari,533241,6,2,8
Andhra Pradesh,East Godavari,533242,7,3,10
Andhra Pradesh,East Godavari,533244,14,7,21
Andhra Pradesh,East Godavari,533247,15,6,21
Andhra Pradesh,East Godavari,533248,12,4,16
Andhra Pradesh,East Godavari,533249,14,6,20
Andhra Pradesh,East Godavari,533250,10,5,15
Andhra Pradesh,East Godavari,533251,9,6,15
Andhra Pradesh,East Godavari,533253,8,4,12
Andhra Pradesh,East Godavari,533254,7,4,11
Andhra Pradesh,East Godavari,533260,5,4,9
Andhra Pradesh,East Godavari,533262,13,6,19
Andhra Pradesh,East Godavari,533263,9,3,12
Andhra Pradesh,East Godavari,533264,7,4,11
Andhra Pradesh,East Godavari,533274,12,5,17
Andhra Pradesh,East Godavari,533284,5,4,9
Andhra Pradesh,East Godavari,533285,13,7,20
Andhra Pradesh,East Godavari,533286,15,8,23
Andhra Pradesh,East Godavari,533287,21,9,30
Andhra Pradesh,East Godavari,533288,16,19,35
Andhra Pradesh,East Godavari,533289,27,11,38
Andhra Pradesh,East Godavari,533290,8,3,11
Andhra Pradesh,East Godavari,533291,15,4,19
Andhra Pradesh,East Godavari,533292,10,4,14
Andhra Pradesh,East Godavari,533293,14,6,20
Andhra Pradesh,East Godavari,533294,25,9,34
Andhra Pradesh,East Godavari,533296,14,6,20
Andhra Pradesh,East Godavari,533297,7,3,10
Andhra Pradesh,East Godavari,533305,8,3,11
Andhra Pradesh,East Godavari,533306,5,2,7
Andhra Pradesh,East Godavari,533307,9,4,13
Andhra Pradesh,East Godavari,533308,19,10,29
Andhra Pradesh,East Godavari,533309,9,3,12
Andhra Pradesh,East Godavari,533339,5,5,10
Andhra Pradesh,East Godavari,533340,7,3,10
Andhra Pradesh,East Godavari,533341,15,7,22
Andhra Pradesh,East Godavari,533342,24,15,39
Andhra Pradesh,East Godavari,533343,24,10,34
Andhra Pradesh,East Godavari,533345,8,4,12
Andhra Pradesh,East Godavari,533346,6,3,9
Andhra Pradesh,East Godavari,533401,35,14,49
Andhra Pradesh,East Godavari,533406,18,8,26
Andhra Pradesh,East Godavari,533407,15,7,22
Andhra Pradesh,East Godavari,533408,11,4,15
Andhra Pradesh,East Godavari,533429,17,7,24
Andhra Pradesh,East Godavari,533430,23,8,31
Andhra Pradesh,East Godavari,533431,21,10,31
Andhra Pradesh,East Godavari,533432,13,5,18
Andhra Pradesh,East Godavari,533433,11,4,15
Andhra Pradesh,East Godavari,533434,13,6,19
Andhra Pradesh,East Godavari,533435,32,13,45
Andhra Pradesh,East Godavari,533436,12,12,24
Andhra Pradesh,East Godavari,533437,39,16,55
Andhra Pradesh,East Godavari,533440,16,8,24
Andhra Pradesh,East Godavari,533444,6,2,8
Andhra Pradesh,East Godavari,533445,18,8,26
Andhra Pradesh,East Godavari,533446,19,9,28
Andhra Pradesh,East Godavari,533447,6,3,9
Andhra Pradesh,East Godavari,533448,15,5,20
Andhra Pradesh,East Godavari,533449,20,10,30
Andhra Pradesh,East Godavari,533450,34,14,48
Andhra Pradesh,East Godavari,533461,11,4,15
Andhra Pradesh,East Godavari,533462,8,6,14
Andhra Pradesh,East Godavari,533463,14,6,20
Andhra Pradesh,East Godavari,533577,9,4,13
Andhra Pradesh,East Godavari,534112,11,7,18
Andhra Pradesh,East Godavari,534313,16,8,24
Andhra Pradesh,East Godavari,534318,9,14,23
Andhra Pradesh,East Godavari,534341,10,4,14
Andhra Pradesh,East Godavari,534350,22,10,32
Andhra Pradesh,Eluru,521201,25,15,40
Andhra Pradesh,Eluru,534002,18,11,29
Andhra Pradesh,Eluru,534435,1,0,1
Andhra Pradesh,Eluru,534447,26,15,41
Andhra Pradesh,Eluru,534452,12,7,19
Andhra Pradesh,Eluru,534455,1,0,1
Andhra Pradesh,Guntur,522001,68,45,113
Andhra Pradesh,Guntur,522002,46,30,76
Andhra Pradesh,Guntur,522003,54,32,86
Andhra Pradesh,Guntur,522004,48,33,81
Andhra Pradesh,Guntur,522005,29,20,49
Andhra Pradesh,Guntur,522006,30,21,51
Andhra Pradesh,Guntur,522007,13,10,23
Andhra Pradesh,Guntur,522009,1,0,1
Andhra Pradesh,Guntur,522015,8,5,13
Andhra Pradesh,Guntur,522016,11,5,16
Andhra Pradesh,Guntur,522017,24,14,38
Andhra Pradesh,Guntur,522018,17,11,28
Andhra Pradesh,Guntur,522019,22,15,37
Andhra Pradesh,Guntur,522020,14,7,21
Andhra Pradesh,Guntur,522034,21,15,36
Andhra Pradesh,Guntur,522102,1,0,1
Andhra Pradesh,Guntur,522111,16,8,24
Andhra Pradesh,Guntur,522112,10,7,17
Andhra Pradesh,Guntur,522113,5,4,9
Andhra Pradesh,Guntur,522124,38,19,57
Andhra Pradesh,Guntur,522201,63,26,89
Andhra Pradesh,Guntur,522202,16,10,26
Andhra Pradesh,Guntur,522211,8,4,12
Andhra Pradesh,Guntur,522212,31,24,55
Andhra Pradesh,Guntur,522213,22,13,35
Andhra Pradesh,Guntur,522233,13,5,18
Andhra Pradesh,Guntur,522234,10,4,14
Andhra Pradesh,Guntur,522235,14,9,23
Andhra Pradesh,Guntur,522236,15,8,23
Andhra Pradesh,Guntur,522237,14,7,21
Andhra Pradesh,Guntur,522256,9,5,14
Andhra Pradesh,Guntur,522257,8,3,11
Andhra Pradesh,Guntur,522258,3,1,4
Andhra Pradesh,Guntur,522259,8,4,12
Andhra Pradesh,Guntur,522261,11,5,16
Andhra Pradesh,Guntur,522262,11,6,17
Andhra Pradesh,Guntur,522264,7,5,12
Andhra Pradesh,Guntur,522265,19,11,30
Andhra Pradesh,Guntur,522268,8,6,14
Andhra Pradesh,Guntur,522301,9,3,12
Andhra Pradesh,Guntur,522302,9,5,14
Andhra Pradesh,Guntur,522303,7,5,12
Andhra Pradesh,Guntur,522304,12,6,18
Andhra Pradesh,Guntur,522305,5,5,10
Andhra Pradesh,Guntur,522306,7,3,10
Andhra Pradesh,Guntur,522307,9,4,13
Andhra Pradesh,Guntur,522308,6,3,9
Andhra Pradesh,Guntur,522309,13,5,18
Andhra Pradesh,Guntur,522310,5,3,8
Andhra Pradesh,Guntur,522311,6,3,9
Andhra Pradesh,Guntur,522312,2,1,3
Andhra Pradesh,Guntur,522313,7,3,10
Andhra Pradesh,Guntur,522315,19,5,24
Andhra Pradesh,Guntur,522316,9,5,14
Andhra Pradesh,Guntur,522317,5,2,7
Andhra Pradesh,Guntur,522318,7,3,10
Andhra Pradesh,Guntur,522324,10,5,15
Andhra Pradesh,Guntur,522325,6,3,9
Andhra Pradesh,Guntur,522329,8,4,12
Andhra Pradesh,Guntur,522330,17,8,25
Andhra Pradesh,Guntur,522341,5,3,8
Andhra Pradesh,Guntur,522401,11,5,16
Andhra Pradesh,Guntur,522402,16,8,24
Andhra Pradesh,Guntur,522403,33,19,52
Andhra Pradesh,Guntur,522408,10,4,14
Andhra Pradesh,Guntur,522409,17,10,27
Andhra Pradesh,Guntur,522410,26,15,41
Andhra Pradesh,Guntur,522411,16,8,24
Andhra Pradesh,Guntur,522412,13,7,20
Andhra Pradesh,Guntur,522413,33,18,51
Andhra Pradesh,Guntur,522415,28,18,46
Andhra Pradesh,Guntur,522421,20,9,29
Andhra Pradesh,Guntur,522435,4,5,9
Andhra Pradesh,Guntur,522436,12,5,17
Andhra Pradesh,Guntur,522437,11,6,17
Andhra Pradesh,Guntur,522438,26,14,40
Andhra Pradesh,Guntur,522439,5,4,9
Andhra Pradesh,Guntur,522501,45,26,71
Andhra Pradesh,Guntur,522502,7,5,12
Andhra Pradesh,Guntur,522503,81,51,132
Andhra Pradesh,Guntur,522508,15,10,25
Andhra Pradesh,Guntur,522509,33,19,52
Andhra Pradesh,Guntur,522510,1,0,1
Andhra Pradesh,Guntur,522529,25,12,37
Andhra Pradesh,Guntur,522549,16,9,25
Andhra Pradesh,Guntur,522601,52,25,77
Andhra Pradesh,Guntur,522603,14,7,21
Andhra Pradesh,Guntur,522611,7,3,10
Andhra Pradesh,Guntur,522612,20,10,30
Andhra Pradesh,Guntur,522613,18,11,29
Andhra Pradesh,Guntur,522615,28,12,40
Andhra Pradesh,Guntur,522617,11,5,16
Andhra Pradesh,Guntur,522619,10,4,14
Andhra Pradesh,Guntur,522626,5,2,7
Andhra Pradesh,Guntur,522646,11,7,18
Andhra Pradesh,Guntur,522649,8,6,14
Andhra Pradesh,Guntur,522657,15,9,24
